데이터 수신 시간,CO2 평균값,온도 평균값,습도 평균값,CO2_2,온도_2,습도_2,조도_2,CO2_3,온도_3,습도_3,조도_3,CO2_4,온도_4,습도_4,조도_4,CO2 설정값1,온도 설정값1,습도 설정값1,CO2 릴레이동작,난방 릴레이 동작,냉방 릴레이 동작,가습 릴레이 동작,제습 릴레이 동작,알람 릴레이 동작
2025-05-01 00:00:37,1204,19.1,96.4,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,20.0,92.0,정지,정지,정지,정지,동작,정지
2025-05-02 00:00:36,1081,19.3,96.8,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,20.0,92.0,정지,정지,정지,정지,동작,정지
2025-05-03 00:00:36,1041,19.7,88.3,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,20.0,92.0,정지,정지,정지,동작,정지,정지
2025-05-04 00:00:35,816,19.2,92.9,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,20.0,92.0,정지,정지,정지,정지,정지,정지
2025-05-05 00:00:35,1169,18.6,92.5,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,20.0,92.0,정지,동작,정지,정지,동작,동작
2025-05-06 00:00:35,920,19.2,93.7,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,20.0,92.0,정지,정지,정지,정지,정지,정지
2025-05-07 00:00:35,1441,19.4,97.9,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,20.0,92.0,동작,동작,정지,정지,동작,정지
2025-05-08 00:00:34,431,13.1,94.8,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,20.0,92.0,정지,동작,정지,정지,동작,동작
2025-05-09 00:00:34,515,14.7,93.3,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,20.0,92.0,정지,동작,정지,정지,동작,동작
2025-05-10 00:00:34,394,15.8,97.1,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,20.0,92.0,정지,동작,정지,정지,동작,동작
2025-05-11 00:00:32,427,12.6,104.4,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,20.0,92.0,정지,동작,정지,정지,동작,동작
2025-05-12 00:00:32,410,11.6,104.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,22.0,92.0,정지,동작,정지,정지,동작,동작
2025-05-13 00:00:32,449,13.9,103.7,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,22.0,92.0,정지,동작,정지,정지,동작,동작
2025-05-14 00:00:32,1184,21.2,96.3,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,22.0,92.0,정지,동작,정지,정지,동작,정지
2025-05-15 00:00:31,1310,20.1,98.7,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,22.0,92.0,동작,동작,정지,정지,동작,동작
2025-05-16 00:00:18,1272,11.0,99.2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,10.0,92.0,정지,정지,동작,정지,동작,정지
2025-05-17 00:00:18,1215,13.7,99.4,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,13.0,92.0,정지,정지,정지,정지,동작,정지
2025-05-18 00:00:18,1286,16.9,99.5,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,16.0,92.0,정지,정지,정지,정지,동작,정지
2025-05-19 00:00:18,1256,16.5,99.1,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,16.0,92.0,정지,정지,정지,정지,동작,정지
2025-05-20 00:00:18,1267,14.9,93.8,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,15.0,92.0,정지,정지,정지,정지,동작,정지
2025-05-21 00:00:17,1155,17.7,98.1,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,17.0,92.0,정지,정지,동작,정지,동작,정지
2025-05-22 00:00:17,1217,16.1,95.4,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1200,16.0,92.0,정지,정지,동작,정지,동작,정지
2025-05-23 00:00:17,1312,15.3,98.1,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1300,15.0,92.0,정지,정지,정지,정지,동작,정지
2025-05-24 00:00:16,1233,15.8,98.5,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1300,15.0,92.0,정지,정지,정지,정지,동작,정지
