데이터 수신 시간,CO2 평균값,온도 평균값,습도 평균값,CO2 설정값1,온도 설정값1,습도 설정값1,CO2 릴레이동작,난방 릴레이 동작,냉방 릴레이 동작,가습 릴레이 동작,제습 릴레이 동작,알람 릴레이 동작
2025-05-01 00:00:36,386,11.2,80.6,1200,10.0,90.0,0,0,1,1,0,1
2025-05-02 00:00:35,385,14.8,88.0,1200,10.0,90.0,0,0,1,1,0,1
2025-05-03 00:00:34,396,14.5,71.2,1200,10.0,90.0,0,0,1,1,0,1
2025-05-04 00:00:34,384,11.7,81.4,1200,10.0,90.0,0,0,1,1,0,1
2025-05-05 00:00:34,382,10.6,67.9,1200,10.0,90.0,0,0,1,1,0,1
2025-05-06 00:00:33,358,12.3,81.0,1200,10.0,90.0,0,0,1,1,0,1
2025-05-07 00:00:33,378,12.4,85.4,1200,10.0,90.0,0,0,1,1,0,1
2025-05-08 00:00:32,396,11.7,86.4,1200,10.0,90.0,0,0,1,1,0,1
2025-05-09 00:00:32,406,13.6,80.7,1200,10.0,90.0,0,0,1,1,0,1
2025-05-10 00:00:33,358,15.6,88.5,1200,10.0,90.0,0,0,1,0,0,1
2025-05-11 00:00:31,363,14.6,72.4,1200,10.0,90.0,0,0,1,1,0,1
2025-05-12 00:00:31,386,11.4,78.3,1200,10.0,90.0,0,0,1,1,0,1
2025-05-13 00:00:31,395,12.7,85.5,1200,10.0,90.0,0,0,1,1,0,1
2025-05-14 00:00:30,397,14.5,85.8,1200,10.0,90.0,0,0,1,1,0,1
2025-05-15 00:00:30,408,15.8,85.4,1200,10.0,90.0,0,0,1,1,0,1
2025-05-16 00:00:17,847,8.7,88.7,1200,8.0,90.0,0,0,0,1,0,1
2025-05-17 00:00:17,1124,8.5,87.0,1200,8.0,90.0,0,0,1,1,0,1
2025-05-18 00:00:16,951,9.0,88.5,1200,8.0,90.0,0,0,1,1,0,1
2025-05-19 00:00:16,1126,8.8,89.1,1200,8.0,90.0,0,0,0,1,0,1
2025-05-20 00:00:16,1374,10.6,89.8,1400,10.0,90.0,0,0,0,1,0,0
2025-05-21 00:00:16,1416,13.0,91.5,1400,12.0,90.0,0,0,1,0,0,0
2025-05-22 00:00:16,1289,12.0,85.8,1400,8.0,90.0,0,0,1,1,0,1
2025-05-23 00:00:16,1254,10.2,86.6,1400,10.0,90.0,0,0,1,1,0,0
2025-05-24 00:00:15,1244,8.7,88.2,1400,8.0,90.0,0,0,1,0,0,0
2025-05-25 00:00:15,1415,8.0,87.0,1400,8.0,90.0,0,0,0,1,0,0
2025-05-26 00:00:14,1413,8.9,90.7,1400,8.0,90.0,0,0,0,0,0,0
2025-05-27 00:00:13,1146,12.0,84.5,1400,8.0,90.0,0,0,1,1,0,1
2025-05-28 00:00:13,1290,10.2,84.0,1400,8.0,90.0,0,0,1,1,0,1
