"데이터 수신 시간","운전 상태","운전 모드","재배 일자","CO2 평균값","온도 평균값","습도 평균값","조도 평균값","CO2_1","온도_1","습도_1","조도_1","CO2_2","온도_2","습도_2","조도_2","CO2_3","온도_3","습도_3","조도_3","CO2_4","온도_4","습도_4","조도_4","CO2 제어방식","CO2 설정값1","CO2 설정값2","온도 제어방식","온도 설정값1","온도 설정값2","습도 제어방식","습도 설정값1","습도 설정값2","조도 제어방식","조도 설정값1","조도 설정값2","CO2 릴레이동작","난방 릴레이 동작","냉방 릴레이 동작","가습 릴레이 동작","제습 릴레이 동작","조명 릴레이 동작","알람 릴레이 동작"
"2025-05-01 00:00:36","운전","단일제어","99","386","11.2","80.6","0","386","11.2","80.6","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","10.0","10분/10분","자동","90.0","10분/10분","고정","6000","60분/0분","정지","정지","동작","동작","정지","동작","동작"
"2025-05-02 00:00:35","운전","단일제어","99","385","14.8","88.0","0","385","14.8","88.0","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","10.0","10분/10분","자동","90.0","10분/10분","고정","6000","60분/0분","정지","정지","동작","동작","정지","동작","동작"
"2025-05-03 00:00:34","운전","단일제어","99","396","14.5","71.2","0","396","14.5","71.2","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","10.0","10분/10분","자동","90.0","10분/10분","고정","6000","60분/0분","정지","정지","동작","동작","정지","동작","동작"
"2025-05-04 00:00:34","운전","단일제어","99","384","11.7","81.4","0","384","11.7","81.4","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","10.0","10분/10분","자동","90.0","10분/10분","고정","6000","60분/0분","정지","정지","동작","동작","정지","동작","동작"
"2025-05-05 00:00:34","운전","단일제어","99","382","10.6","67.9","0","382","10.6","67.9","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","10.0","10분/10분","자동","90.0","10분/10분","고정","6000","60분/0분","정지","정지","동작","동작","정지","동작","동작"
"2025-05-06 00:00:33","운전","단일제어","99","358","12.3","81.0","0","358","12.3","81.0","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","10.0","10분/10분","자동","90.0","10분/10분","고정","6000","60분/0분","정지","정지","동작","동작","정지","동작","동작"
"2025-05-07 00:00:33","운전","단일제어","99","378","12.4","85.4","0","378","12.4","85.4","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","10.0","10분/10분","자동","90.0","10분/10분","고정","6000","60분/0분","정지","정지","동작","동작","정지","동작","동작"
"2025-05-08 00:00:32","운전","단일제어","99","396","11.7","86.4","0","396","11.7","86.4","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","10.0","10분/10분","자동","90.0","10분/10분","고정","6000","60분/0분","정지","정지","동작","동작","정지","동작","동작"
"2025-05-09 00:00:32","운전","단일제어","99","406","13.6","80.7","0","406","13.6","80.7","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","10.0","10분/10분","자동","90.0","10분/10분","고정","6000","60분/0분","정지","정지","동작","동작","정지","동작","동작"
"2025-05-10 00:00:33","운전","단일제어","99","358","15.6","88.5","0","358","15.6","88.5","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","10.0","10분/10분","자동","90.0","10분/10분","고정","6000","60분/0분","정지","정지","동작","정지","정지","동작","동작"
"2025-05-11 00:00:31","운전","단일제어","99","363","14.6","72.4","0","363","14.6","72.4","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","10.0","10분/10분","자동","90.0","10분/10분","고정","6000","60분/0분","정지","정지","동작","동작","정지","동작","동작"
"2025-05-12 00:00:31","운전","단일제어","99","386","11.4","78.3","0","386","11.4","78.3","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","10.0","10분/10분","자동","90.0","10분/10분","고정","6000","60분/0분","정지","정지","동작","동작","정지","동작","동작"
"2025-05-13 00:00:31","운전","단일제어","99","395","12.7","85.5","0","395","12.7","85.5","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","10.0","10분/10분","자동","90.0","10분/10분","고정","6000","60분/0분","정지","정지","동작","동작","정지","동작","동작"
"2025-05-14 00:00:30","운전","단일제어","99","397","14.5","85.8","0","397","14.5","85.8","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","10.0","10분/10분","자동","90.0","10분/10분","고정","6000","60분/0분","정지","정지","동작","동작","정지","동작","동작"
